MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
1-10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,16,2,1,1956,445,230,0.813,0.813,0.188,1
1-11,0,0,0.1,0,0.1,0.3,0.3,0,0.1,0,0,0.1,0.9,0.1,0,0,4,0,0,0,0,0,0,0,0,18,2,1,1932.5,387.5,268,0.833,0.667,0.333,10
10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,1973,1413,188,1,1,0,0
10-15,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,3.5,0,0,0,0,0,0,0,0,2,1,1,1981.5,11562.5,143.5,0.5,1,0,2
10-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,2,1,1,1975.5,63457,5989.5,0,1,0,2
10-17,0.1,0,0.05,0.05,0.1,0,0.05,0,0,0.25,0.25,0.15,0.8,0.05,0.15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,1972,23294.5,201,0,1,0,0
10-19,0.158,0,0,0,0.158,0.158,0.053,0.053,0.105,0.105,0.105,0.105,0.947,0,0.053,0,3,0,0,0,0,0,0,0,0,9,1,1,1983,12200,201,0,1,0,19
10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,1,1968,765,201,0.342,1,0,0
10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1995,717,341,0.933,1,0,0
