ID,LAT_MIN,LNG_MIN,LAT_MAX,LNG_MAX,LAT_ID,LNG_ID
1-1,45.4,-74.0,45.4031,-73.9947,1,1
2-1,45.4031,-74.0,45.4062,-73.9947,2,1
3-1,45.4062,-74.0,45.4093,-73.9947,3,1
4-1,45.4093,-74.0,45.4124,-73.9947,4,1
5-1,45.4124,-74.0,45.4155,-73.9947,5,1
6-1,45.4155,-74.0,45.4186,-73.9947,6,1
7-1,45.4186,-74.0,45.4217,-73.9947,7,1
8-1,45.4217,-74.0,45.4248,-73.9947,8,1
9-1,45.4248,-74.0,45.4279,-73.9947,9,1
10-1,45.4279,-74.0,45.431,-73.9947,10,1
11-1,45.431,-74.0,45.4341,-73.9947,11,1
12-1,45.4341,-74.0,45.4372,-73.9947,12,1
13-1,45.4372,-74.0,45.4403,-73.9947,13,1
14-1,45.4403,-74.0,45.4434,-73.9947,14,1
15-1,45.4434,-74.0,45.4465,-73.9947,15,1
16-1,45.4465,-74.0,45.4496,-73.9947,16,1
17-1,45.4496,-74.0,45.4527,-73.9947,17,1
18-1,45.4527,-74.0,45.455799999999996,-73.9947,18,1
19-1,45.455799999999996,-74.0,45.4589,-73.9947,19,1
20-1,45.4589,-74.0,45.461999999999996,-73.9947,20,1
21-1,45.461999999999996,-74.0,45.4651,-73.9947,21,1
22-1,45.4651,-74.0,45.468199999999996,-73.9947,22,1
23-1,45.468199999999996,-74.0,45.4713,-73.9947,23,1
24-1,45.4713,-74.0,45.474399999999996,-73.9947,24,1
25-1,45.474399999999996,-74.0,45.4775,-73.9947,25,1
26-1,45.4775,-74.0,45.4806,-73.9947,26,1
27-1,45.4806,-74.0,45.4837,-73.9947,27,1
28-1,45.4837,-74.0,45.4868,-73.9947,28,1
29-1,45.4868,-74.0,45.4899,-73.9947,29,1
30-1,45.4899,-74.0,45.493,-73.9947,30,1
31-1,45.493,-74.0,45.4961,-73.9947,31,1
32-1,45.4961,-74.0,45.4992,-73.9947,32,1
33-1,45.4992,-74.0,45.5023,-73.9947,33,1
34-1,45.5023,-74.0,45.5054,-73.9947,34,1
35-1,45.5054,-74.0,45.5085,-73.9947,35,1
36-1,45.5085,-74.0,45.5116,-73.9947,36,1
37-1,45.5116,-74.0,45.5147,-73.9947,37,1
38-1,45.5147,-74.0,45.5178,-73.9947,38,1
39-1,45.5178,-74.0,45.5209,-73.9947,39,1
40-1,45.5209,-74.0,45.524,-73.9947,40,1
41-1,45.524,-74.0,45.5271,-73.9947,41,1
42-1,45.5271,-74.0,45.5302,-73.9947,42,1
43-1,45.5302,-74.0,45.5333,-73.9947,43,1
44-1,45.5333,-74.0,45.5364,-73.9947,44,1
45-1,45.5364,-74.0,45.5395,-73.9947,45,1
46-1,45.5395,-74.0,45.5426,-73.9947,46,1
47-1,45.5426,-74.0,45.5457,-73.9947,47,1
48-1,45.5457,-74.0,45.5488,-73.9947,48,1
49-1,45.5488,-74.0,45.551899999999996,-73.9947,49,1
50-1,45.551899999999996,-74.0,45.555,-73.9947,50,1
51-1,45.555,-74.0,45.5581,-73.9947,51,1
52-1,45.5581,-74.0,45.5612,-73.9947,52,1
53-1,45.5612,-74.0,45.5643,-73.9947,53,1
54-1,45.5643,-74.0,45.5674,-73.9947,54,1
55-1,45.5674,-74.0,45.5705,-73.9947,55,1
56-1,45.5705,-74.0,45.5736,-73.9947,56,1
57-1,45.5736,-74.0,45.5767,-73.9947,57,1
58-1,45.5767,-74.0,45.5798,-73.9947,58,1
59-1,45.5798,-74.0,45.5829,-73.9947,59,1
60-1,45.5829,-74.0,45.586,-73.9947,60,1
61-1,45.586,-74.0,45.5891,-73.9947,61,1
62-1,45.5891,-74.0,45.5922,-73.9947,62,1
63-1,45.5922,-74.0,45.5953,-73.9947,63,1
64-1,45.5953,-74.0,45.5984,-73.9947,64,1
65-1,45.5984,-74.0,45.6015,-73.9947,65,1
66-1,45.6015,-74.0,45.6046,-73.9947,66,1
67-1,45.6046,-74.0,45.6077,-73.9947,67,1
68-1,45.6077,-74.0,45.6108,-73.9947,68,1
69-1,45.6108,-74.0,45.6139,-73.9947,69,1
70-1,45.6139,-74.0,45.617,-73.9947,70,1
71-1,45.617,-74.0,45.6201,-73.9947,71,1
72-1,45.6201,-74.0,45.6232,-73.9947,72,1
73-1,45.6232,-74.0,45.6263,-73.9947,73,1
74-1,45.6263,-74.0,45.6294,-73.9947,74,1
75-1,45.6294,-74.0,45.6325,-73.9947,75,1
76-1,45.6325,-74.0,45.635600000000004,-73.9947,76,1
77-1,45.635600000000004,-74.0,45.6387,-73.9947,77,1
78-1,45.6387,-74.0,45.6418,-73.9947,78,1
79-1,45.6418,-74.0,45.6449,-73.9947,79,1
80-1,45.6449,-74.0,45.648,-73.9947,80,1
81-1,45.648,-74.0,45.6511,-73.9947,81,1
82-1,45.6511,-74.0,45.6542,-73.9947,82,1
83-1,45.6542,-74.0,45.6573,-73.9947,83,1
84-1,45.6573,-74.0,45.6604,-73.9947,84,1
85-1,45.6604,-74.0,45.6635,-73.9947,85,1
86-1,45.6635,-74.0,45.6666,-73.9947,86,1
87-1,45.6666,-74.0,45.6697,-73.9947,87,1
88-1,45.6697,-74.0,45.6728,-73.9947,88,1
89-1,45.6728,-74.0,45.6759,-73.9947,89,1
90-1,45.6759,-74.0,45.679,-73.9947,90,1
91-1,45.679,-74.0,45.6821,-73.9947,91,1
92-1,45.6821,-74.0,45.6852,-73.9947,92,1
93-1,45.6852,-74.0,45.6883,-73.9947,93,1
94-1,45.6883,-74.0,45.6914,-73.9947,94,1
95-1,45.6914,-74.0,45.6945,-73.9947,95,1
96-1,45.6945,-74.0,45.6976,-73.9947,96,1
97-1,45.6976,-74.0,45.7007,-73.9947,97,1
98-1,45.7007,-74.0,45.7038,-73.9947,98,1
99-1,45.7038,-74.0,45.7069,-73.9947,99,1
100-1,45.7069,-74.0,45.71,-73.9947,100,1
1-2,45.4,-73.9947,45.4031,-73.9894,1,2
2-2,45.4031,-73.9947,45.4062,-73.9894,2,2
3-2,45.4062,-73.9947,45.4093,-73.9894,3,2
4-2,45.4093,-73.9947,45.4124,-73.9894,4,2
5-2,45.4124,-73.9947,45.4155,-73.9894,5,2
6-2,45.4155,-73.9947,45.4186,-73.9894,6,2
7-2,45.4186,-73.9947,45.4217,-73.9894,7,2
8-2,45.4217,-73.9947,45.4248,-73.9894,8,2
9-2,45.4248,-73.9947,45.4279,-73.9894,9,2
10-2,45.4279,-73.9947,45.431,-73.9894,10,2
11-2,45.431,-73.9947,45.4341,-73.9894,11,2
12-2,45.4341,-73.9947,45.4372,-73.9894,12,2
13-2,45.4372,-73.9947,45.4403,-73.9894,13,2
14-2,45.4403,-73.9947,45.4434,-73.9894,14,2
15-2,45.4434,-73.9947,45.4465,-73.9894,15,2
16-2,45.4465,-73.9947,45.4496,-73.9894,16,2
17-2,45.4496,-73.9947,45.4527,-73.9894,17,2
18-2,45.4527,-73.9947,45.455799999999996,-73.9894,18,2
19-2,45.455799999999996,-73.9947,45.4589,-73.9894,19,2
20-2,45.4589,-73.9947,45.461999999999996,-73.9894,20,2
21-2,45.461999999999996,-73.9947,45.4651,-73.9894,21,2
22-2,45.4651,-73.9947,45.468199999999996,-73.9894,22,2
23-2,45.468199999999996,-73.9947,45.4713,-73.9894,23,2
24-2,45.4713,-73.9947,45.474399999999996,-73.9894,24,2
25-2,45.474399999999996,-73.9947,45.4775,-73.9894,25,2
26-2,45.4775,-73.9947,45.4806,-73.9894,26,2
27-2,45.4806,-73.9947,45.4837,-73.9894,27,2
28-2,45.4837,-73.9947,45.4868,-73.9894,28,2
29-2,45.4868,-73.9947,45.4899,-73.9894,29,2
30-2,45.4899,-73.9947,45.493,-73.9894,30,2
31-2,45.493,-73.9947,45.4961,-73.9894,31,2
32-2,45.4961,-73.9947,45.4992,-73.9894,32,2
33-2,45.4992,-73.9947,45.5023,-73.9894,33,2
34-2,45.5023,-73.9947,45.5054,-73.9894,34,2
35-2,45.5054,-73.9947,45.5085,-73.9894,35,2
36-2,45.5085,-73.9947,45.5116,-73.9894,36,2
37-2,45.5116,-73.9947,45.5147,-73.9894,37,2
38-2,45.5147,-73.9947,45.5178,-73.9894,38,2
39-2,45.5178,-73.9947,45.5209,-73.9894,39,2
40-2,45.5209,-73.9947,45.524,-73.9894,40,2
41-2,45.524,-73.9947,45.5271,-73.9894,41,2
42-2,45.5271,-73.9947,45.5302,-73.9894,42,2
43-2,45.5302,-73.9947,45.5333,-73.9894,43,2
44-2,45.5333,-73.9947,45.5364,-73.9894,44,2
45-2,45.5364,-73.9947,45.5395,-73.9894,45,2
46-2,45.5395,-73.9947,45.5426,-73.9894,46,2
47-2,45.5426,-73.9947,45.5457,-73.9894,47,2
48-2,45.5457,-73.9947,45.5488,-73.9894,48,2
49-2,45.5488,-73.9947,45.551899999999996,-73.9894,49,2
50-2,45.551899999999996,-73.9947,45.555,-73.9894,50,2
51-2,45.555,-73.9947,45.5581,-73.9894,51,2
52-2,45.5581,-73.9947,45.5612,-73.9894,52,2
53-2,45.5612,-73.9947,45.5643,-73.9894,53,2
54-2,45.5643,-73.9947,45.5674,-73.9894,54,2
55-2,45.5674,-73.9947,45.5705,-73.9894,55,2
56-2,45.5705,-73.9947,45.5736,-73.9894,56,2
57-2,45.5736,-73.9947,45.5767,-73.9894,57,2
